agency,awardeeCity,awardeeName,awardeeStateCode,fundsObligatedAmt,id,piFirstName,piLastName,publicAccessMandate,date,title
NSF,NEW YORK,New York University,NY,2665719,1238599,Karen,Adolph,0,09/25/2012,Databrary:   An open video-based data-sharing system for developmental science
NSF,University Park,Pennsylvania State Univ University Park,PA,385000,1147440,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
NSF,NEW YORK,New York University,NY,2500000,0721383,Catherine,Tamis-LeMonda,0,08/07/2007,"IRADS:  The Study of Culture, Social Settings, and Child Development across School Transitions"
NSF,STATEN ISLAND,CUNY College of Staten Island,NY,77355,1349044,Lana,Karasik,0,01/22/2014,"Effects Of Traditional Cradling Practices On Infants' Physical, Motor, And Social Development"
NSF,La Jolla,University of California-San Diego,CA,2650000,0808767,Javier,Movellan,0,08/26/2008,INT2-Large: Collaborative Research: Developing Social Robots
NSF,CORAL GABLES,University of Miami,FL,202002,1052736,Daniel,Messinger,0,06/14/2011,"Collaborative Research: Communication, Perturbation, and Early Development"
NSF,University Park,Pennsylvania State Univ University Park,PA,385000,1147440,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
NSF,NEWARK,Rutgers University Newark,NJ,284473,1247590,Vanessa,LoBue,0,05/22/2013,Validation of the Child Affective Facial Expressions Set (CAFE)
NSF,University Park,Pennsylvania State Univ University Park,PA,397307,0092452,Rick,Gilmore,0,02/09/2001,CAREER: The Development of Heading Perception in Infancy
NSF,University Park,Pennsylvania State Univ University Park,PA,397307,0092452,Rick,Gilmore,0,02/09/2001,CAREER: The Development of Heading Perception in Infancy
NSF,NEW YORK,New York University,NY,337975,1147543,Marjorie,Rhodes,0,07/12/2012,The role of within-category variability in the development of induction
NSF,University Park,Pennsylvania State Univ University Park,PA,385000,1147440,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
NSF,University Park,Pennsylvania State Univ University Park,PA,385000,1147440,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
NSF,University Park,Pennsylvania State Univ University Park,PA,385000,1147440,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
NSF,University Park,Pennsylvania State Univ University Park,PA,385000,1147440,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
NSF,University Park,Pennsylvania State Univ University Park,PA,800000,1248076,Yanxi,Liu,0,09/09/2012,INSPIRE: Symmetry Group-based Regularity Perception in Human and Computer Vision
NSF,University Park,Pennsylvania State Univ University Park,PA,354257,1331073,Bradley,Wyble,0,07/27/2013,Integrating Spatial and Temporal Models of Visual Attention
NSF,University Park,Pennsylvania State Univ University Park,PA,385000,1147440,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
NSF,Boston,Museum of Science,MA,2999827,1220305,Christine,Cunningham,0,09/06/2012,Exploring the Efficacy of Engineering is Elementary (E4)
NSF,University Park,Pennsylvania State Univ University Park,PA,385000,1147440,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
NSF,Villanova,Villanova University,PA,482889,1929935,DEENA,WEISBERG,1,04/09/2019,Young children's beliefs about causal systems: Learning about belief revision in the lab and in museums
NSF,PROVIDENCE,Brown University,RI,817795,1661068,David,Sobel,1,05/01/2017,Young children's beliefs about causal systems: Learning about belief revision in the lab and in museums
NSF,University Park,Pennsylvania State Univ University Park,PA,385000,1147440,Rick,Gilmore,0,06/05/2012,The Development and Dynamics of Cortical Motion Processing
NSF,Villanova,Villanova University,PA,482889,1929935,DEENA,WEISBERG,1,04/09/2019,Young children's beliefs about causal systems: Learning about belief revision in the lab and in museums
NSF,PROVIDENCE,Brown University,RI,817795,1661068,David,Sobel,1,05/01/2017,Young children's beliefs about causal systems: Learning about belief revision in the lab and in museums
NSF,Villanova,Villanova University,PA,482889,1929935,DEENA,WEISBERG,1,04/09/2019,Young children's beliefs about causal systems: Learning about belief revision in the lab and in museums
NSF,University Park,Pennsylvania State Univ University Park,PA,11668917,1255832,Michael,Verderame,0,08/12/2012,Graduate Research Fellowship Program (GRFP)
NSF,University Park,Pennsylvania State Univ University Park,PA,800000,1248076,Yanxi,Liu,0,09/09/2012,INSPIRE: Symmetry Group-based Regularity Perception in Human and Computer Vision
NSF,NEW YORK,New York University,NY,293783,1627993,Karen,Adolph,0,07/27/2016,NSF/SBE-BSF: Neural patterns underlying the development of planning in action production and anticipation in action perception
